municipios_BR_dadosFID,municipios_BR_dadosmun_nm,municipios_BR_dadoscod_ibge,municipios_BR_dadosT2_1_man,municipios_BR_dadosT2_2_rpe,municipios_BR_dadosT2_2_qe_m3,municipios_BR_dadosT2_2_qe_ls,municipios_BR_dadosT2_4_tpsis,municipios_BR_dadosT2_4_tp_op,municipios_BR_dadosT3_1_c_man,municipios_BR_dadosT3_2_sispr,municipios_BR_dadosT3_3_avqtt,municipios_BR_dadosT3_4_dist,municipios_BR_dadosT3_5_efdis,municipios_BR_dadosT3_6_efpr,municipios_BR_dadosT3_7_ish,municipios_BR_dadosT3_8_plnac,municipios_BR_dadosT3_9_ivi,municipios_BR_dadosT3_10_perd,municipios_BR_dadosT2_2_SiSem,WebServices_Croquis_vfinalcsvHiperlink1,WebServices_Croquis_vfinalcsvNome_Croqui1,WebServices_Croquis_vfinalcsvHiperlink2,WebServices_Croquis_vfinalcsvNome_Croqui2,WebServices_Croquis_vfinalcsvHiperlink3,WebServices_Croquis_vfinalcsvNome_Croqui3,WebServices_Croquis_vfinalcsvHiperlink4,WebServices_Croquis_vfinalcsvNome_Croqui4,WebServices_Croquis_vfinalcsvHiperlink5,WebServices_Croquis_vfinalcsvNome_Croqui5,WebServices_Croquis_vfinalcsvHiperlink6,WebServices_Croquis_vfinalcsvNome_Croqui6,WebServices_Croquis_vfinalcsvHiperlink7,WebServices_Croquis_vfinalcsvNome_Croqui7
16,Alto Alegre,3501103,Exclusivamente Subterrânea,3501103,0.001817,1.816686,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura ≥ 97% (Pleno),Alta,Média,Alta,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_3501103_AltoAlegre.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
17,Alumínio,3501152,Preponderantemente Superficial,3501152,0.001056,1.0564,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,70 ≥ Índice de Cobertura > 90%,Baixa,Média,Média,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,B,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_3501152_Aluminio.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
18,Parapuã,3536000,Exclusivamente Subterrânea,3536000,0.001167,1.166669,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura ≥ 97% (Pleno),Média,Média,Média,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,B,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_3536000_Parapua.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
19,Pardinho,3536109,Exclusivamente Superficial,3536109,0.001912,1.912174,Sistema Isolado,Companhia Estadual,Manancial com Baixa Vulnerabilidade,Ampliação do sistema,Manancial com Baixa Vulnerabilidade,90 ≥ Índice de Cobertura > 97%,Alta,Média,Alta,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_3536109_Pardinho.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
20,Paraíso,3535705,Exclusivamente Subterrânea,3535705,0.001337,1.337213,Sistema Isolado,Autarquia Municipal,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_3535705_Paraiso.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
21,Paranapanema,3535804,Exclusivamente Superficial,3535804,0.001228,1.228237,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,70 ≥ Índice de Cobertura > 90%,Baixa,Média,Média,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,B,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_3535804_Paranapanema.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
22,Paranapuã,3535903,Exclusivamente Subterrânea,3535903,0.001362,1.36164,Sistema Integrado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_SP_INT_18_ParanapuaDolcinopolis.pdf,Sistema Integrado Paranapuã-Dolcinópolis ,,,,,,,,,,,,
23,Lagoinha,3526308,Exclusivamente Superficial,3526308,0.001341,1.340626,Sistema Isolado,Companhia Estadual,Manancial com Baixa Vulnerabilidade,Satisfatório,Manancial com Baixa Vulnerabilidade,Índice de Cobertura ≥ 97% (Pleno),Alta,Alta,Alta,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_3526308_Lagoinha.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
24,Rio das Pedras,3544004,Exclusivamente Superficial,3544004,0.001335,1.335152,Sistema Isolado,Autarquia Municipal,Manancial com Baixa Vulnerabilidade,Ampliação do sistema,Manancial com Baixa Vulnerabilidade,Índice de Cobertura ≥ 97% (Pleno),Baixa,Baixa,Baixa,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,D,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_3544004_RiodasPedras.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
25,Palma Sola,4212007,Exclusivamente Superficial,4212007,0.000983,0.982613,Sistema Isolado,Companhia Estadual,Manancial com Média Vulnerabilidade,Satisfatório,Manancial com Média Vulnerabilidade,Índice de Cobertura ≥ 97% (Pleno),Média,Baixa,Média,Infraestrutura que Requer Estudo de Alternativas - Novo Manancial,B,Ação necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4212007_PalmaSola.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
26,Arujá,3503901,Exclusivamente Superficial,3503901,0.001648,1.648129,Sistema Integrado,Companhia Estadual,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura ≥ 97% (Pleno),Alta,Média,Alta,Infraestrutura Recomendada,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_SP_INT_03_AltoTiete.pdf,Sistema Integrado Alto Tietê,,,,,,,,,,,,
27,Nova Aliança,3532801,Exclusivamente Subterrânea,3532801,0.001669,1.668763,Sistema Isolado,Autarquia Municipal,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Média,Máxima,Alta,Medida de Gestão,C,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_3532801_NovaAlianca.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
28,Lençóis Paulista,3526803,Preponderantemente Subterrânea,3526803,0.002578,2.578229,Sistema Isolado,Autarquia Municipal,Manancial Não Vulnerável,Adequação do sistema,Manancial Não Vulnerável com Adequação do sistema,Índice de Cobertura ≥ 97% (Pleno),Média,Alta,Alta,Medida de Gestão,B,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_3526803_LençoisPaulista.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
29,Luiziânia,3527702,Exclusivamente Subterrânea,3527702,0.001336,1.336285,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,90 ≥ Índice de Cobertura > 97%,Alta,Média,Alta,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_3527702_Luiziania.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
30,Riolândia,3544202,Preponderantemente Superficial,3544202,0.001669,1.668613,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,90 ≥ Índice de Cobertura > 97%,Alta,Média,Alta,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_3544202_Riolandia.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
31,Painel,4211892,Exclusivamente Subterrânea,4211892,0.001153,1.152618,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4211892_Painel.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
32,Palmitos,4212106,Exclusivamente Superficial,4212106,0.000982,0.982409,Sistema Integrado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Média,Máxima,Alta,Medida de Gestão,B,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_SC_INT_11_CaibiPalmitos.pdf,Sistema Integrado Caibi-Palmitos,,,,,,,,,,,,
33,Paraíso,4212239,Exclusivamente Superficial,4212239,0.001342,1.34209,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Média,Máxima,Alta,Medida de Gestão,B,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4212239_Paraiso.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
34,Bom Jardim,3300506,Exclusivamente Superficial,3300506,0.000168,0.168472,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura ≥ 97% (Pleno),Média,Média,Média,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,B,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_3300506_BomJardim.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
35,Bom Jesus do Itabapoana,3300605,Exclusivamente Superficial,3300605,0.001489,1.489348,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,90 ≥ Índice de Cobertura > 97%,Média,Máxima,Alta,Medida de Gestão,C,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_3300605_BomJesusDoItabapoana.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
36,Macaubal,3528106,Exclusivamente Subterrânea,3528106,0.00167,1.669619,Sistema Isolado,Autarquia Municipal,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_3528106_Macaubal.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
37,Porto Feliz,3540606,Preponderantemente Superficial,3540606,0.001785,1.785154,Sistema Isolado,Autarquia Municipal,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura ≥ 97% (Pleno),Média,Média,Média,Infraestrutura Recomendada,B,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_3540606_PortoFeliz.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
38,Porto Ferreira,3540705,Preponderantemente Superficial,3540705,0.000975,0.974536,Sistema Isolado,Concessionária Privada,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Média,Máxima,Alta,Medida de Gestão,B,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_3540705_PortoFerreira.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
39,Luís Antônio,3527603,Exclusivamente Subterrânea,3527603,0.001965,1.964977,Sistema Isolado,Autarquia Municipal,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,70 ≥ Índice de Cobertura > 90%,Baixa,Máxima,Alta,Medida de Gestão,D,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_3527603_LuizAntonio.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
40,Passos Maia,4212270,Exclusivamente Subterrânea,4212270,0.001107,1.106696,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4212270_PassosMaia.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
41,Passo de Torres,4212254,Preponderantemente Superficial,4212254,0.002434,2.433593,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,90 ≥ Índice de Cobertura > 97%,Média,Média,Média,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,C,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4212254_PassodeTorres.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
42,Carrasco Bonito,1703891,Exclusivamente Subterrânea,1703891,0.001318,1.318066,Sistema Isolado,Concessionária Privada,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Média,Máxima,Alta,Medida de Gestão,B,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1703891_CarrascoBonito.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
43,Conceição do Tocantins,1705607,Exclusivamente Subterrânea,1705607,0.000471,0.470884,Sistema Isolado,Companhia Estadual,Manancial com Média Vulnerabilidade,Satisfatório,Manancial com Média Vulnerabilidade,Índice de Cobertura ≥ 97% (Pleno),Baixa,Baixa,Baixa,Infraestrutura que Requer Estudo de Alternativas - Novo Manancial,D,Ação necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1705607_ConceicaodoTocantins.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
44,Lavínia,3526506,Exclusivamente Subterrânea,3526506,0.001275,1.275202,Sistema Isolado,Autarquia Municipal,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura ≥ 97% (Pleno),Média,Média,Média,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,C,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_3526506_Lavínia.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
45,Lavrinhas,3526605,Exclusivamente Superficial,3526605,0.001405,1.405146,Sistema Isolado,Companhia Estadual,Manancial com Baixa Vulnerabilidade,Satisfatório,Manancial com Baixa Vulnerabilidade,Índice de Cobertura ≥ 97% (Pleno),Alta,Alta,Alta,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_3526605_Lavrinhas.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
46,Leme,3526704,Exclusivamente Superficial,3526704,0.001595,1.594517,Sistema Isolado,Autarquia Municipal,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Baixa,Máxima,Alta,Medida de Gestão,D,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_3526704_Leme.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
47,Figueirópolis,1707652,Preponderantemente Superficial,1707652,0.00034,0.339933,Sistema Isolado,Concessionária Privada,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1707652_Figueiropolis.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
48,Filadélfia,1707702,Exclusivamente Subterrânea,1707702,0.001084,1.084476,Sistema Isolado,Concessionária Privada,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura ≥ 97% (Pleno),Alta,Média,Alta,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1707702_Filadelfia.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
49,Formoso do Araguaia,1708205,Preponderantemente Superficial,1708205,0.000333,0.332558,Sistema Isolado,Concessionária Privada,Manancial com Baixa Vulnerabilidade,Satisfatório,Manancial com Baixa Vulnerabilidade,Índice de Cobertura ≥ 97% (Pleno),Média,Alta,Alta,Medida de Gestão,C,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1708205_FormosodoAraguaia.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
50,Bom Jesus dos Perdões,3507100,Preponderantemente Superficial,3507100,0.001637,1.636941,Sistema Isolado,Autarquia Municipal,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,90 ≥ Índice de Cobertura > 97%,Alta,Média,Alta,Infraestrutura Recomendada,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_3507100_BomJesusdosPerdoes.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
